,rowid,kepid,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
count,2293.0,2293.0,2281.0,2293.0,2293.0,2293.0,2293.0,2293.0,2292.0,2292.0,2293.0,2292.0,2292.0,2292.0,2292.0,2292.0,2293.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,0.0,0.0,2292.0,2292.0,2292.0,2292.0,2285.0,2292.0,2292.0,2279.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2293.0,2293.0,2293.0
mean,2311.5521151330136,8100779.312254688,0.9625971065322242,0.009158307893589184,0.0113388573920628,0.0026166593981683385,0.0004361098996947231,27.0632105613249,0.00021822128534031412,-0.00021822128534031412,157.26281193763643,0.004184200305410119,-0.004184200305410119,0.42676675392670144,0.2954873036649205,-0.3116274869109952,4.308623667684266,0.12207411431064574,-0.12207411431064574,1141.4463350785336,22.374040139616014,-22.374040139616014,2.8715706806282744,0.4761954624781871,-0.3862478184991275,839.1256544502618,,,350.6661387434561,187.82166666666677,-132.03140924956358,87.92329842931943,1.4512035010940918,5477.974258289703,116.87260034904014,-124.18473014480035,4.410753926701579,0.08976265270506138,-0.10613961605584658,1.0665484293193708,0.17521422338568918,-0.1495314136125652,290.9398816484954,44.36600052115117,14.337051024858283
std,1717.2466327898865,2584140.44913738,0.14449758502945106,0.09528059858619523,0.10590174104134085,0.05109746719171057,0.02088324447241666,54.0186025361585,0.0012724654244255576,0.0012724654244255576,42.479439269196526,0.009643027285363879,0.009643027285363879,0.33220030218397734,2.5664849099921008,0.27036996303820465,2.7214817047656594,0.16538785847460852,0.16538785847460852,2686.20821933054,73.82425290258742,73.82425290258742,3.3611287716509852,0.7990471804107724,0.9478106204136787,386.7405670174842,,,1223.6757299999056,879.152340194025,776.2118524157036,284.0856405445808,0.8221456460903424,677.1330883425688,43.06967951417186,52.07772281515768,0.23533337444051772,0.07882489443148734,0.06469513275382446,0.6429667921258977,0.14346950183093474,0.2254054543027477,4.757961702990464,3.5679852224753867,1.227065207725178
min,1.0,757450.0,0.0,0.0,0.0,0.0,0.0,0.34184201700000005,2.7e-08,-0.05099,120.5659254,8.7e-06,-0.345,0.0,0.0,-6.938,0.4279,0.00073,-5.9,12.2,1.1,-2312.0,0.27,0.0,-31.9,129.0,,,0.07,0.0,-28302.96,6.0,1.0,2703.0,0.0,-712.0,2.41,0.0,-0.748,0.118,0.0,-4.943,280.2066,36.577381,8.224
25%,1066.0,6152974.0,0.993,0.0,0.0,0.0,0.0,5.082748362,1.1345e-05,-0.00012407500000000002,134.20642,0.00142,-0.0049625,0.081,0.04475,-0.51325,2.5146,0.051574999999999996,-0.153,220.64999999999998,7.8,-25.0,1.53,0.16,-0.37,554.0,,,22.205,8.307500000000001,-78.75,20.2,1.0,5171.0,82.0,-152.0,4.287,0.036000000000000004,-0.126,0.8077500000000001,0.066,-0.16125,287.25667999999996,41.4646,13.659
50%,1988.0,8355239.0,1.0,0.0,0.0,0.0,0.0,11.32269749,3.6885e-05,-3.6885e-05,140.53041000000002,0.00278,-0.00278,0.3925,0.185,-0.3125,3.577,0.0879,-0.0879,460.35,14.3,-14.3,2.17,0.3,-0.21,781.0,,,87.915,35.665,-22.560000000000002,31.6,1.0,5616.0,107.0,-112.0,4.455,0.064,-0.105,0.968,0.16,-0.0895,291.1376,44.337551,14.59
75%,3200.0,10187017.0,1.0,0.0,0.0,0.0,0.0,25.5172744,0.00012407500000000002,-1.1345e-05,171.30369,0.0049625,-0.00142,0.74625,0.354,-0.064,5.307,0.153,-0.051574999999999996,896.2,25.0,-7.8,2.94,0.54,-0.13,1039.0,,,275.1175,134.51,-5.2250000000000005,54.55,2.0,5929.5,153.0,-83.0,4.5569999999999995,0.13,-0.052000000000000005,1.2,0.243,-0.055,294.77686,47.204449,15.258
max,9541.0,12834874.0,1.0,1.0,1.0,1.0,1.0,1071.232624,0.05099,-2.7e-08,589.71975,0.345,-8.7e-06,1.3,73.17,0.0,24.42,5.9,-0.00073,36912.0,2312.0,-1.1,77.76,21.27,0.0,3559.0,,,37958.27,32770.23,0.0,5945.9,7.0,9565.0,676.0,0.0,5.274,0.765,0.0,19.53,2.551,0.0,301.72076,52.149132,17.475
