,rowid,kepid,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
count,2248.0,2248.0,1797.0,2248.0,2248.0,2248.0,2248.0,2248.0,2171.0,2171.0,2248.0,2171.0,2171.0,2185.0,2171.0,2171.0,2248.0,2171.0,2171.0,2185.0,2171.0,2171.0,2185.0,2185.0,2185.0,2185.0,0.0,0.0,2186.0,2186.0,2186.0,2185.0,2181.0,2185.0,2177.0,2177.0,2185.0,2177.0,2177.0,2185.0,2177.0,2177.0,2248.0,2248.0,2248.0
mean,4953.383007117438,7793188.6992882565,0.9002097941012821,0.0,0.014234875444839857,0.0,0.0,130.5238500718243,0.002226394335789962,-0.002226394335789962,170.43126753812277,0.013197332197144203,-0.013197332197144203,0.5370909839816927,1.5757529249193916,-0.35567789037309977,4.827391574733096,0.407718889912483,-0.407718889912483,1864.2388558352397,38.97982496545369,-38.97982496545369,15.931464530892482,5.32664988558353,-3.987487414187642,882.4201372997711,,,5357.021225983528,2265.2766285452913,-3390.5026029277196,45.59578947368429,1.2948188904172397,5639.766590389016,139.56270096463024,-153.66789159393662,4.3314810068649905,0.11479283417547091,-0.1446375746440059,1.5663112128146441,0.3284377583830949,-0.3223399173174092,291.7895947864771,43.94949000845197,14.3381481316726
std,2609.6904366232034,2645966.9450863576,0.182813531374699,0.0,0.11848412824172012,0.0,0.0,2744.1563967600796,0.007347088896023882,0.007347088896023882,74.69669220403789,0.027127124440033287,0.027127124440033287,1.9900313481747247,8.636123905270457,1.3387212014034047,4.413870562129722,0.6961437614720898,0.6961437614720898,12502.099676475067,74.22685055916403,74.22685055916403,316.93728972680753,123.87177354088193,103.79849966517247,665.6195901477378,,,155887.72057686013,43270.683847281056,120066.78466789104,231.86648073986063,0.7069223428606981,693.9712795836366,46.07457635273259,61.52100492272105,0.3908568095109897,0.12763272641857645,0.09147194766058503,5.87514600490289,0.5896184014178677,1.8301172621519781,4.827846362357148,3.6034967053962594,1.3109085720344005
min,38.0,1026957.0,0.001,0.0,0.0,0.0,0.0,0.259819659,0.0,-0.1416,129.7295,1.5e-05,-0.488,0.0,0.0,-59.32,0.052,0.00099,-13.2,0.0,0.8,-1977.0,0.22,0.0,-4789.0,25.0,,,0.0,0.0,-5600031.33,0.0,1.0,2661.0,0.0,-941.0,0.114,0.0,-1.207,0.109,0.0,-76.199,280.31487999999996,36.74361,7.747999999999999
25%,2700.5,5724415.5,0.898,0.0,0.0,0.0,0.0,5.10753339125,2.8025e-05,-0.0007006,133.5549175,0.003645,-0.014,0.147,0.053,-0.4785,2.12975,0.129,-0.451,121.3,11.1,-41.75,1.18,0.19,-0.49,488.0,,,13.427499999999998,6.7875,-106.535,9.6,1.0,5273.0,99.0,-192.0,4.248,0.042,-0.2,0.826,0.129,-0.217,288.0346975,40.99306225,13.57
50%,4697.5,8105558.5,0.987,0.0,0.0,0.0,0.0,13.278651159999999,0.0001184,-0.0001184,138.47456499999998,0.00769,-0.00769,0.396,0.223,-0.2803,3.44945,0.243,-0.243,257.9,22.6,-22.6,1.78,0.38,-0.2,772.0,,,84.08500000000001,46.29,-25.5,12.4,1.0,5729.0,154.0,-154.0,4.444,0.067,-0.125,0.99,0.244,-0.107,292.117185,43.963123,14.65
75%,7097.25,9896018.0,1.0,0.0,0.0,0.0,0.0,59.30374665,0.0007006,-2.8025e-05,169.59839999999997,0.014,-0.003645,0.77,0.3704,-0.09385,5.78625,0.451,-0.129,593.4,41.75,-11.1,2.99,0.77,-0.11,1092.0,,,335.38,203.76749999999998,-3.7824999999999998,20.7,1.0,6068.0,171.0,-102.0,4.544,0.141,-0.085,1.286,0.357,-0.068,295.64020500000004,46.7546385,15.3675
max,9562.0,12885212.0,1.0,0.0,1.0,0.0,0.0,129995.7784,0.1416,0.0,907.04471,0.488,-1.5e-05,64.5159,72.99,0.0,44.35,13.2,-0.00099,363130.0,1977.0,-0.8,13333.5,5171.0,0.0,13184.0,,,7165673.12,1752194.13,0.0,6788.8,7.0,10894.0,560.0,0.0,5.364,1.232,0.0,152.969,15.454,0.0,301.6618,52.220341,17.305
